system,country,origin,status,url,class
KamAZ-5350 with EOV-3523 excavator,Russia,Russia,captured,https://i.postimg.cc/dQZQWvBp/Screenshot-8218.png,Engineering Vehicles
KamAZ-5350 with EOV-3523 excavator,Russia,Russia,destroyed,https://postimg.cc/F1SGt9BP,Engineering Vehicles
KamAZ-5350 with EOV-3523 excavator,Russia,Russia,captured,https://i.postimg.cc/bvhJB8xz/774.png,Engineering Vehicles
KamAZ-5350 with EOV-3523 excavator,Russia,Russia,destroyed,https://i.postimg.cc/tTr6V12R/m99.jpg,Engineering Vehicles
KamAZ-5350 with KS-45719-7M crane,Russia,Russia,destroyed,https://i.postimg.cc/m2PYCSvv/6y.jpg,Engineering Vehicles
KamAZ-6350 8x8 artillery tractor,Russia,Russia,damaged,https://i.postimg.cc/nczxh49m/Screenshot-8074.png,"Trucks, Vehicles, and Jeeps"
KamAZ-6350 8x8 artillery tractor,Russia,Russia,destroyed,https://i.postimg.cc/br0ZYQZW/Screenshot-8071.png,"Trucks, Vehicles, and Jeeps"
KamAZ-6350 8x8 artillery tractor,Russia,Russia,destroyed,https://i.postimg.cc/VvPSc7kX/Screenshot-8070.png,"Trucks, Vehicles, and Jeeps"
KamAZ-6350 8x8 artillery tractor,Russia,Russia,damaged,https://i.postimg.cc/br6jRJWd/Screenshot-8072.png,"Trucks, Vehicles, and Jeeps"
KamAZ-63968 'Typhoon',Russia,Russia,destroyed,https://i.postimg.cc/T2Sqz4Dw/h7.png,Mine-Resistant Ambush Protected (MRAP) Vehicles
KamAZ-63968 'Typhoon',Russia,Russia,destroyed,https://i.postimg.cc/xCPDKLvR/542.jpg,Mine-Resistant Ambush Protected (MRAP) Vehicles
KamAZ-63968 'Typhoon',Russia,Russia,captured,https://i.postimg.cc/8c2xJRvB/570.png,Mine-Resistant Ambush Protected (MRAP) Vehicles
KamAZ-63968 'Typhoon',Russia,Russia,captured,https://postlmg.cc/sGfMhkCN,Mine-Resistant Ambush Protected (MRAP) Vehicles
Kozak-2,Ukraine,Ukraine,captured,https://i.postimg.cc/SK6qfZwB/42g.png,Infantry Mobility Vehicles
Kozak-2,Ukraine,Ukraine,destroyed,https://i.postimg.cc/L6pqJk7y/58.png,Infantry Mobility Vehicles
Kozak-2,Ukraine,Ukraine,captured,https://i.postimg.cc/kMcBVF09/f4.png,Infantry Mobility Vehicles
Kozak-2,Ukraine,Ukraine,abandoned,https://postimg.cc/JD2WNfPx,Infantry Mobility Vehicles
Kozak-2,Ukraine,Ukraine,damaged,https://i.postimg.cc/1XzJ7nhW/d2g.png,Infantry Mobility Vehicles
KrAZ-5233,Ukraine,Ukraine,captured,https://i.postimg.cc/fR5HJv28/dd11.png,"Trucks, Vehicles, and Jeeps"
KrAZ-6322,Ukraine,Ukraine,destroyed,https://i.postimg.cc/0QMkBhwk/Screenshot-8021.png,"Trucks, Vehicles, and Jeeps"
KrAZ-6322,Ukraine,Ukraine,captured,https://postimg.cc/0zzW9YYS,"Trucks, Vehicles, and Jeeps"
KrAZ-6322,Ukraine,Ukraine,captured,https://postimg.cc/dLpRmzC7,"Trucks, Vehicles, and Jeeps"
KrAZ-6322,Ukraine,Ukraine,captured,https://postimg.cc/v4CPT4hN,"Trucks, Vehicles, and Jeeps"
KrAZ-6322,Ukraine,Ukraine,damaged,https://i.postimg.cc/wM4RWy5K/r3.png,"Trucks, Vehicles, and Jeeps"
KrAZ-6322,Ukraine,Ukraine,captured,https://postimg.cc/jC9nGySm,"Trucks, Vehicles, and Jeeps"
KrAZ-6322,Ukraine,Ukraine,captured,https://postimg.cc/G9jSKh34,"Trucks, Vehicles, and Jeeps"
KrAZ-6322,Ukraine,Ukraine,captured,https://i.postimg.cc/QMb9yCQx/447.png,"Trucks, Vehicles, and Jeeps"
KrAZ-6322,Ukraine,Ukraine,captured,https://i.postimg.cc/m2sVjnKd/44311.png,"Trucks, Vehicles, and Jeeps"
Krivak III class frigate 'Hetman Sahaydachniy',Ukraine,Soviet Union,NA,https://i.postimg.cc/yxy8CH6r/469.png,Naval Ships
Leleka-100 reconnaissance UAV,Ukraine,Ukraine,captured,https://i.postimg.cc/J7NmcVwY/6653.jpg,Unmanned Aerial Vehicles
Leleka-100 reconnaissance UAV,Ukraine,Ukraine,captured,https://i.postimg.cc/Nj2txW1y/d4.png,Unmanned Aerial Vehicles
MAZ,Ukraine,Belarus,abandoned,https://i.postimg.cc/ZRVpWfKB/Screenshot-8260.png,"Trucks, Vehicles, and Jeeps"
MAZ,Ukraine,Belarus,abandoned,https://i.postimg.cc/hP4hp8v6/d46.png,"Trucks, Vehicles, and Jeeps"
MAZ,Ukraine,Belarus,captured,https://i.postimg.cc/7LSW8dKp/35.png,"Trucks, Vehicles, and Jeeps"
MAZ,Ukraine,Belarus,damaged,https://i.postimg.cc/9fRbHBdp/f3.png,"Trucks, Vehicles, and Jeeps"
MAZ,Ukraine,Belarus,destroyed,https://i.postimg.cc/52g8DrqH/n1.png,"Trucks, Vehicles, and Jeeps"
MAZ,Ukraine,Belarus,destroyed,https://i.postimg.cc/nL8S357x/6h.png,"Trucks, Vehicles, and Jeeps"
MAZ,Ukraine,Belarus,destroyed,https://i.postimg.cc/26dvvmgq/t12.png,"Trucks, Vehicles, and Jeeps"
MAZ,Ukraine,Belarus,destroyed,https://i.postimg.cc/g25vbgv0/t11.png,"Trucks, Vehicles, and Jeeps"
MAZ,Ukraine,Belarus,destroyed,https://i.postimg.cc/5NBFhrqB/223.png,"Trucks, Vehicles, and Jeeps"
MAZ,Ukraine,Belarus,destroyed,https://i.postimg.cc/DfttyLxg/4r.png,"Trucks, Vehicles, and Jeeps"
MAZ,Ukraine,Belarus,destroyed,https://i.postimg.cc/L6dvbgC5/v48.png,"Trucks, Vehicles, and Jeeps"
MAZ-537,Ukraine,Soviet Union,captured,https://i.postimg.cc/7LSW8dKp/35.png,"Trucks, Vehicles, and Jeeps"
MAZ-537,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/25RJZzWf/Screenshot-8076.png,"Trucks, Vehicles, and Jeeps"
MBT LAW 'NLAW',Ukraine,United Kingdom,captured,https://i.postimg.cc/MKdRbP30/f24.png,Anti-Tank Guided Missiles
MBT LAW 'NLAW',Ukraine,United Kingdom,captured,https://i.postimg.cc/xdCxvthg/4fsh.png,Anti-Tank Guided Missiles
MBT LAW 'NLAW',Ukraine,United Kingdom,captured,https://i.postimg.cc/RCdVxFvX/772.png,Anti-Tank Guided Missiles
MBT LAW 'NLAW',Ukraine,United Kingdom,captured,https://i.postimg.cc/pVq0Pj4t/31.png,Anti-Tank Guided Missiles
MBT LAW 'NLAW',Ukraine,United Kingdom,captured,https://twitter.com/Caucasuswar/status/1497165090835083293,Anti-Tank Guided Missiles
MBT LAW 'NLAW',Ukraine,United Kingdom,captured,https://i.postimg.cc/4xhpF2Yg/5549.png,Anti-Tank Guided Missiles
MBT LAW 'NLAW',Ukraine,United Kingdom,captured,https://i.postimg.cc/J4ZQZ9nR/43f1.png,Anti-Tank Guided Missiles
Mi-24 attack helicopter,Ukraine,Soviet Union,destroyed,https://twitter.com/ArmedForcesUkr/status/1502323427847376901,Helicopters
Mi-24V/P attack helicopter,Russia,Soviet Union,destroyed,https://i.postimg.cc/x82n2HvR/4f3.png,Helicopters
Mi-24V/P attack helicopter,Russia,Soviet Union,destroyed,https://i.postimg.cc/x1B22Yvq/7755.png,Helicopters
Mi-28 attack helicopter,Russia,Russia,destroyed,https://twitter.com/oryxspioenkop/status/1502605989400489990  ,Helicopters
Mi-35M attack helicopter,Russia,Russia,destroyed,https://i.postimg.cc/4x2WCZvL/135.png,Helicopters
Mi-35M attack helicopter,Russia,Russia,destroyed,https://i.postimg.cc/KcdDngcj/556.png ,Helicopters
Mi-8 transport helicopter,Russia,Russia,destroyed,https://i.postimg.cc/nrRXyX9x/367.png,Helicopters
Mi-8 transport helicopter,Russia,Russia,destroyed,https://i.postimg.cc/YS3Jpmpz/4799.png,Helicopters
Mi-8 transport helicopter,Russia,Russia,destroyed,https://i.postimg.cc/mr5q9Wcz/5gk.png ,Helicopters
MiG-29 fighter aircraft,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/XYtgd1XH/g68.png ,Aircraft
MP-2IM signals vehicle,Russia,Russia,abandoned,https://i.postimg.cc/wM1CmTC8/b89.png,Communications Stations
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/yxYBvtqz/432.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/g0ZTbDyL/Screenshot-8648.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/prrV2r2S/c1.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/kGHJDCGg/c2.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/GpjCvqdV/54h.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/gJPQbJYy/5546.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/C5QvvLdV/f56.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/tT5WmDRj/cd.jpg,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/FRzrgz2x/y1.jpg,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/xTgHsLrK/13.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/R0tWzHYp/5546.jpg,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/yYjcTw9v/76.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/QdBCWPqB/d19.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/zBSQCqs2/b5.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/BbNYQPQc/hh6.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/sx950sSB/Screenshot-8457.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/wTYJPs3P/Screenshot-8472.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/ryRsk4jq/m1.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/RVc03z28/m2.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/Px6nHx7G/g33.jpg,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/VLGGrwbj/h652.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/6qszKVTq/m11.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/nhV2nhV4/m12.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/2SJG2hyJ/9po.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/0QPGdgX4/6658.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/XvpJbF2W/k9.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/52P7zGLB/654.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/D0fPPSmY/658.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://twitter.com/UAWeapons/status/1498757622211784707,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/nLRctZ4r/d6.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/W4x4DFVB/54.jpg,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/x86mN0TW/c13.jpg,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/CxNSkmyp/763.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/nV1GtGPL/54f.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/y6m6zVCB/525.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/zBynjsCc/k87.jpg,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://postimg.cc/LhJKL51n,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/pLnGNjf0/77600.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/tgm5kzZB/32f.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/CxQFG5Cj/4369.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/vHYqqTjM/544.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/mk6zFPwD/3256.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/XYqqkLzv/549.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/R08pWBP4/4f13.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/zBV1Nswm/4178.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/YS5g7HgZ/589.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/MT0c8jzf/589.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/mrJwQRQ2/f69.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/44Pdb9wn/48.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/P5M1XV5z/58.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/hjqg1p15/680.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/R0zbsmLL/6659.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/MGBV9R2s/4fs.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,captured,https://i.postimg.cc/1tVLvyy0/764.png,Armoured Fighting Vehicles
MT-LB,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/15LSXyBT/5488.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/yNdpdVtm/d1.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/dV6Sf0SG/6hf.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/MT7GfMmt/467.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/yYY0Hk5C/73.jpg,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/ZRgTChvT/f24.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/SRx4st8h/46805.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/Y21qgqY7/7766.jpg,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/prBcbgMK/4131.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,destroyed,https://i.postimg.cc/gJ24TR94/457.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/GpG26n3R/446.png,Armoured Fighting Vehicles
MT-LB,Ukraine,Soviet Union,abandoned,https://i.postimg.cc/D00sLq8C/Screenshot-8261.png ,Armoured Fighting Vehicles
MT-LB,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/ry4rL6Zz/4fs.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/mkwsnkyF/433.png,Armoured Fighting Vehicles
MT-LB,Russia,Soviet Union,abandoned,https://i.postimg.cc/1z6127Wh/h54.png,Armoured Fighting Vehicles
MT-LB,Ukraine,Soviet Union,captured,https://i.postimg.cc/fTkR5p00/12.png,Armoured Fighting Vehicles
MT-LB Ambulance,Russia,Soviet Union,destroyed,https://i.postimg.cc/857p1Nfy/dd25.png,Armoured Fighting Vehicles
MT-LB Ambulance,Ukraine,Ukraine,abandoned,https://i.postimg.cc/3Jv5s5tq/468.png ,Armoured Fighting Vehicles
MT-LB with ZU-23 AA gun,Russia,Soviet Union,destroyed,https://postimg.cc/kVDPCNz0,Armoured Fighting Vehicles
MT-LB with ZU-23 AA gun,Ukraine,Soviet Union,captured,https://i.postimg.cc/kMw23yTN/37h.png ,Armoured Fighting Vehicles
MT-LB with ZU-23 AA gun,Russia,Soviet Union,destroyed,https://i.postimg.cc/TPDQzj54/g89.png,Armoured Fighting Vehicles
MT-LBM 6MB,Russia,Soviet Union,abandoned,https://i.postimg.cc/pr29GJz8/359.png,Armoured Fighting Vehicles
MT-LBu,Ukraine,Soviet Union,captured,https://i.postimg.cc/qqpf540b/a1.png ,Armoured Fighting Vehicles
MT-LBu,Ukraine,Soviet Union,damaged,https://i.postimg.cc/ZYHxJ6rp/Screenshot-8036.png,Armoured Fighting Vehicles
MT-LBu,Russia,Soviet Union,destroyed,https://i.postimg.cc/NfqgFR94/h65.png,Armoured Fighting Vehicles
MT-LBu,Russia,Soviet Union,destroyed,https://i.postimg.cc/CxhxWtzf/f7.png,Armoured Fighting Vehicles
MT-LBu,Russia,Soviet Union,abandoned,https://i.postimg.cc/gc14s4Fb/a2.png,Armoured Fighting Vehicles
MT-LBu,Russia,Soviet Union,abandoned,https://i.postimg.cc/sgntV80G/44fss.png,Armoured Fighting Vehicles
MT-LBu,Russia,Soviet Union,abandoned,https://i.postimg.cc/63JZBWDQ/b76.png,Armoured Fighting Vehicles
MT-LBu,Russia,Soviet Union,captured,https://i.postimg.cc/pV5ZRVDR/5548.png  ,Armoured Fighting Vehicles
MT-LBu,Russia,Soviet Union,captured,https://i.postimg.cc/bvVkFC2H/Screenshot-8472.png,Armoured Fighting Vehicles
MT-LBu,Russia,Soviet Union,destroyed,https://i.postimg.cc/k4j0tnJS/488.png,Armoured Fighting Vehicles
MTU-72 bridge layer,Russia,Russia,captured,https://i.postimg.cc/15PH69LH/3g.png ,Engineering Vehicles
Novator,Ukraine,Ukraine,captured,https://i.postimg.cc/9XsNHnMW/ad4.png,Infantry Mobility Vehicles
Novator,Ukraine,Ukraine,damaged,https://i.postimg.cc/MKMkcgwH/776.png,Infantry Mobility Vehicles
Orlan-10 reconnaissance UAV,Russia,Russia,destroyed,https://i.postimg.cc/CKwKbTnN/5799.png,Unmanned Aerial Vehicles
P-14 'Tall King',Ukraine,Soviet Union,damaged,https://i.postimg.cc/rpWmrPLb/57.png,Radars
P-35/37 'Bar Lock',Ukraine,Soviet Union,destroyed,https://i.postimg.cc/WpShQwBk/5547.png,Radars
Pantsir-S1,Russia,Russia,captured,https://i.postimg.cc/5yy3byX2/43j.png,Surface-To-Air Missile Systems
Pantsir-S1,Russia,Russia,destroyed,https://i.postimg.cc/J00T0v1j/335s.png,Surface-To-Air Missile Systems
Pantsir-S1,Russia,Russia,captured,https://i.postimg.cc/QxrxMb4D/k88.png,Surface-To-Air Missile Systems
Pantsir-S1,Russia,Russia,captured,https://postimg.cc/TpB4Xtbs/ec2c4921,Surface-To-Air Missile Systems
Pantsir-S1,Russia,Russia,abandoned,https://i.postimg.cc/nc1WwSy5/f6.png,Surface-To-Air Missile Systems
PMP floating bridge,Russia,Soviet Union,destroyed,https://i.postimg.cc/2SK7crq5/4g.png,Engineering Vehicles
PMP floating bridge,Russia,Soviet Union,destroyed,https://i.postimg.cc/vZ108y86/j767.jpg,Engineering Vehicles
PRV-13 'Odd Pair',Ukraine,Soviet Union,destroyed,https://i.postimg.cc/pXwx79Lj/557.png,Radars
PTS-3 tracked amphibious transport,Russia,Soviet Union,abandoned,https://i.postimg.cc/Z5VK9XR3/v77.png,Engineering Vehicles
PTS-3 tracked amphibious transport,Russia,Soviet Union,abandoned,https://i.postimg.cc/DzNv6s1w/v88.png,Engineering Vehicles
R-149MA1 unified command and staff vehicle,Russia,Russia,destroyed,https://i.postimg.cc/gjrp8521/553.jpg,Armoured Fighting Vehicles
R-149MA1 unified command and staff vehicle,Russia,Russia,abandoned,https://i.postimg.cc/TY9CCkH1/h6n.jpg,Armoured Fighting Vehicles
R-149MA1 unified command and staff vehicle,Russia,Russia,abandoned,https://postlmg.cc/DWr360St,Armoured Fighting Vehicles
R-149MA1 unified command and staff vehicle,Russia,Russia,captured,https://i.postimg.cc/hG5hhQJp/59.png,Armoured Fighting Vehicles
R-149MA1 unified command and staff vehicle,Russia,Russia,captured,https://i.postimg.cc/kgBKhrFT/884.png,Armoured Fighting Vehicles
R-149MA1 unified command and staff vehicle,Russia,Russia,captured,https://i.postimg.cc/SxdymMYS/f432.png,Armoured Fighting Vehicles
R-149MA1 unified command and staff vehicle,Russia,Russia,damaged,https://i.postimg.cc/jSgsKMn3/g553.jpg,Armoured Fighting Vehicles
R-149MA3 command and staff vehicle,Russia,Russia,captured,https://i.postimg.cc/pXBzH5Qc/554.png,Armoured Fighting Vehicles
R-149MA3 command and staff vehicle,Russia,Russia,damaged,https://i.postimg.cc/q7W198PZ/f431.png,Armoured Fighting Vehicles
R-166-0.5 signals vehicle,Russia,Russia,abandoned,https://i.postimg.cc/BQ3JL2hJ/g55.png,Communications Stations
R-166-0.5 signals vehicle,Russia,Russia,destroyed,https://i.postimg.cc/65sVfNzw/57.png,Communications Stations
R-330BMV Borisoglebsk-2B,Russia,Russia,captured,https://i.postimg.cc/q7sY5R4q/45.png,Jammers and Deception Systems
R-330BMV Borisoglebsk-2B,Russia,Russia,damaged,https://i.postimg.cc/wvzPRKsx/333.png,Jammers and Deception Systems
R-419L1 communications station,Russia,Russia,abandoned,https://i.postimg.cc/HWF2jVg6/5588.png,Communications Stations
REM-KL armoured recovery vehicle,Russia,Russia,captured,https://i.postimg.cc/6QZqppsj/f8.png,Engineering Vehicles
RK-3 Corsar,Ukraine,Ukraine,captured,https://i.postimg.cc/Y9CBgSvz/1g.png,Anti-Tank Guided Missiles
RK-3 Corsar,Ukraine,Ukraine,captured,https://i.postimg.cc/h4sVF71y/c56.png,Anti-Tank Guided Missiles
SNAR-10 battlefield surveillance radar,Ukraine,Soviet Union,captured,https://i.postimg.cc/c4DVgZbq/224.png,Armoured Fighting Vehicles
Su-25 attack aircraft,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/C5fYn87Q/542f.png,Aircraft
Su-25 attack aircraft,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/zfqkgsNp/p2.png,Aircraft
Su-25 attack aircraft,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/YC63jp5h/p1.png,Aircraft
Su-25 close air support aircraft,Russia,Soviet Union,destroyed,https://i.postimg.cc/Mp371YRh/675.png,Aircraft
Su-25 close air support aircraft,Russia,Soviet Union,destroyed,https://i.postimg.cc/SsTkvvtc/46.png,Aircraft
Su-25 close air support aircraft,Russia,Soviet Union,destroyed,https://tass.ru/armiya-i-opk/13840645,Aircraft
Su-25 close air support aircraft,Russia,Soviet Union,destroyed,https://i.postimg.cc/VNx7Xd0x/n86.png,Aircraft
Su-25 close air support aircraft,Russia,Soviet Union,destroyed,https://i.postimg.cc/zBCBJNs4/360.png,Aircraft
Su-27 fighter aircraft,Ukraine,Soviet Union,destroyed,https://twitter.com/mil_in_ua/status/1499342154078072832?s=20&t=bcSrtaBM5RESkHmxbxd-lQ,Aircraft
Su-27 fighter aircraft,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/bN1TbkjC/46.png,Aircraft
Su-27 fighter aircraft,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/XYtMphyC/5h.png,Aircraft
Su-30SM multirole aircraft,Russia,Russia,destroyed,https://i.postimg.cc/d32cVDQj/5790.jpg,Aircraft
Su-30SM multirole aircraft,Russia,Russia,destroyed,https://i.postimg.cc/QNPryLw9/7699.png,Aircraft
Su-34 strike aircraft,Russia,Russia,destroyed,https://i.postimg.cc/Prbxm2KX/5g7.jpg,Aircraft
Su-34 strike aircraft,Russia,Russia,destroyed,https://i.postimg.cc/XNTgS10c/b8.jpg,Aircraft
Su-34 strike aircraft,Russia,Russia,destroyed,https://i.postimg.cc/rpZdfjt7/5gh.png,Aircraft
Su-34 strike aircraft,Russia,Russia,destroyed,https://i.postimg.cc/brNRFNVw/46.png,Aircraft
T-64BV,Ukraine,Soviet Union,abandoned,https://i.postimg.cc/qBsnPDXc/5548.png,Tanks
T-64BV,Ukraine,Soviet Union,damaged,https://i.postimg.cc/6QWhgDnj/j8.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/9fjZRhmN/t2.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/6pZCp3Xv/t1.png,Tanks
T-64BV,Ukraine,Soviet Union,abandoned,https://i.postimg.cc/k5m1QQ2y/dd3.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/VLvLJy9B/f33.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/nhxjsB2y/f565.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/3Jr2p426/g5.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/280btFGT/d3.png,Tanks
T-64BV,Russia,Soviet Union,damaged,https://i.postimg.cc/DfYzLMQ3/v60.png,Tanks
T-64BV,Russia,Soviet Union,captured,https://i.postimg.cc/2ygSrvvG/6533.png,Tanks
T-64BV,Russia,Soviet Union,captured,https://i.postimg.cc/VL4dSdk8/32133.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/qR73wNL8/31d.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/nL9rTN9h/r134.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/3Rpyrz3c/r133.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/2y3ZvYBj/447.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/R0hzn11B/542p.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/k5dJtVjX/4f28.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/VN6JN05r/ff7.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/G2TXN9cy/5g2.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/jSkfDQJC/765.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/C1XTdKjW/n8.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/44zyTqfZ/o9.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/zfdggTnG/17.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/rFvVhTXT/l9.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/7YhDhNRQ/f566.jpg,Tanks
